Year,Month,Day,Hour,DirectInclined,DiffuseInclined,Reflected,GlobalInclined,DirectHoriz,DiffusHoriz,GlobalHoriz,TopOfAtmosphere
2005,1,1,0.25,0,0,0,0,0,0,0,0
2005,1,1,0.5,0,0,0,0,0,0,0,0
2005,1,1,0.75,0,0,0,0,0,0,0,0
2005,1,1,1,0,0,0,0,0,0,0,0
2005,1,1,1.25,0,0,0,0,0,0,0,0
2005,1,1,1.5,0,0,0,0,0,0,0,0
2005,1,1,1.75,0,0,0,0,0,0,0,0
2005,1,1,2,0,0,0,0,0,0,0,0
2005,1,1,2.25,0,0,0,0,0,0,0,0
2005,1,1,2.5,0,0,0,0,0,0,0,0
2005,1,1,2.75,0,0,0,0,0,0,0,0
2005,1,1,3,0,0,0,0,0,0,0,0
2005,1,1,3.25,0,0,0,0,0,0,0,0
2005,1,1,3.5,0,0,0,0,0,0,0,0
2005,1,1,3.75,0,0,0,0,0,0,0,0
2005,1,1,4,0,0,0,0,0,0,0,0
2005,1,1,4.25,0,0,0,0,0,0,0,0
2005,1,1,4.5,0,0,0,0,0,0,0,0
2005,1,1,4.75,0,0,0,0,0,0,0,0
2005,1,1,5,0,0,0,0,0,0,0,0
2005,1,1,5.25,0,0,0,0,0,0,0,0
2005,1,1,5.5,0,0,0,0,0,0,0,0
2005,1,1,5.75,0,0,0,0,0,0,0,0
2005,1,1,6,0,0,0,0,0,0,0,0
2005,1,1,6.25,0,0,0,0,0,0,0,0
2005,1,1,6.5,0,0,0,0,0,0,0,0
2005,1,1,6.75,0,0,0,0,0,0,0,0
2005,1,1,7,0,0,0,0,0,0,0,0
2005,1,1,7.25,0,0,0,0,0,0,0,0
2005,1,1,7.5,0,0,0,0,0,0,0,0
2005,1,1,7.75,0,0,0,0,0,0,0,0
2005,1,1,8,0,1.4,0,1.5,0.1,1.3,1.4,1.6
2005,1,1,8.25,2.1,3.8,0.1,6,0.2,3.9,4.1,12.4
2005,1,1,8.5,2,5.5,0.1,7.6,0.4,5.7,6,24.3
