Year;Time;DirectInclined;DiffuseInclined;Reflected;GlobalInclined;DirectHoriz;DiffusHoriz;GlobalHoriz;Clear-Sky;TopofAtmosphere
2005-01-01;00:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;00:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;00:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;01:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;01:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;01:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;01:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;02:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;02:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;02:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;02:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;03:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;03:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;03:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;03:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;04:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;04:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;04:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;04:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;05:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;05:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;05:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;05:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;06:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;06:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;06:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;06:45;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;07:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;07:15;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1
2005-01-01;07:30;0.0000;0.0095;0.0001;0.0096;0.0006;0.0104;0.0110;0.0201;0.1927;5
2005-01-01;07:45;0.4150;1.0591;0.0122;1.4863;0.0660;1.1129;1.1790;2.8045;9.6998;5
2005-01-01;08:00;0.9685;3.4852;0.0396;4.4933;0.2168;3.6198;3.8366;9.5934;24.0271;5
2005-01-01;08:15;1.5161;6.4685;0.0732;8.0578;0.4585;6.6365;7.0951;18.1193;37.8616;5
2005-01-01;08:30;2.4848;9.8471;0.1126;12.4445;0.8926;10.0306;10.9232;27.3606;51.1441;5
2005-01-01;08:45;3.6973;13.3808;0.1552;17.2334;1.4853;13.5707;15.0560;36.7879;63.8177;5
2005-01-01;09:00;5.1042;17.0080;0.2000;22.3122;2.2205;17.1764;19.3969;46.1007;75.8281;2
2005-01-01;09:15;8.8036;21.8719;0.2654;30.9408;4.0759;21.6641;25.7400;55.1093;87.1239;2
2005-01-01;09:30;33.0584;30.1154;0.4364;63.6101;15.9988;26.3266;42.3254;63.6812;97.6568;2
2005-01-01;09:45;58.7342;33.0194;0.5726;92.3262;29.3712;26.1699;55.5410;71.7156;107.3816;2
2005-01-01;10:00;48.1433;36.3519;0.5718;85.0670;24.7370;30.7233;55.4604;79.1325;116.2566;2
2005-01-01;10:15;49.5863;38.7863;0.6102;88.9828;26.0553;33.1296;59.1849;85.8603;124.2440;2
2005-01-01;10:30;22.3485;37.8832;0.4964;60.7282;11.9399;36.2097;48.1496;91.8475;131.3094;2
2005-01-01;10:45;8.9732;33.1772;0.3960;42.5464;4.8663;33.5434;38.4097;97.0531;137.4227;2
2005-01-01;11:00;5.3584;29.5256;0.3429;35.2269;2.9399;30.3178;33.2577;101.4409;142.5576;2
2005-01-01;11:15;4.8426;29.1454;0.3370;34.3250;2.6801;30.0070;32.6871;104.9815;146.6921;2
2005-01-01;11:30;5.9248;31.8763;0.3712;38.1723;3.2994;32.7067;36.0061;107.6519;149.8086;2
2005-01-01;11:45;6.6747;33.5499;0.3926;40.6172;3.7313;34.3471;38.0784;109.4353;151.8938;2
2005-01-01;12:00;5.7364;32.0957;0.3731;38.2052;3.2131;32.9721;36.1852;110.3205;152.9386;2
2005-01-01;12:15;7.3699;34.7688;0.4087;42.5474;4.1280;35.5165;39.6444;110.3018;152.9386;2
2005-01-01;12:30;7.6188;34.9204;0.4113;42.9505;4.2591;35.6334;39.8925;109.3791;151.8938;2
2005-01-01;12:45;8.0316;35.0151;0.4138;43.4605;4.4719;35.6611;40.1330;107.5577;149.8086;2
2005-01-01;13:00;10.2783;36.5302;0.4388;47.2473;5.6868;36.8709;42.5577;104.8487;146.6921;2
2005-01-01;13:15;15.7288;39.0076;0.4863;55.2226;8.6286;38.5370;47.1656;101.2705;142.5576;2
2005-01-01;13:30;19.0768;39.0955;0.4989;58.6712;10.3528;38.0383;48.3912;96.8451;137.4227;2
2005-01-01;13:45;15.8152;36.2356;0.4540;52.5048;8.4649;35.5648;44.0297;91.6010;131.3094;2
2005-01-01;14:00;13.4066;33.3659;0.4123;47.1847;7.0477;32.9379;39.9856;85.5748;124.2440;2
2005-01-01;14:15;12.7343;31.0691;0.3831;44.1865;6.5453;30.6099;37.1552;78.8113;116.2566;2
2005-01-01;14:30;12.6134;28.8371;0.3562;41.8068;6.3034;28.2473;34.5507;71.3652;107.3816;2
2005-01-01;14:45;13.6429;26.8735;0.3354;40.8518;6.5832;25.9489;32.5321;63.3031;97.6568;2
2005-01-01;15:00;9.9518;22.7250;0.2764;32.9532;4.5941;22.2164;26.8105;54.7077;87.1239;2
2005-01-01;15:15;7.5157;18.8777;0.2253;26.6187;3.2700;18.5791;21.8491;45.6846;75.8281;2
2005-01-01;15:30;5.1602;14.8314;0.1732;20.1648;2.0745;14.7279;16.8024;36.3751;63.8177;5
2005-01-01;15:45;3.2746;10.9394;0.1251;14.3391;1.1769;10.9568;12.1337;26.9824;51.1441;5
