Tag,Stunden,Monat,Woche
1,0.25,1,0
1,0.5,1,0
1,0.75,1,0
1,1,1,0
1,1.25,1,0
1,1.5,1,0
1,1.75,1,0
1,2,1,0
1,2.25,1,0
1,2.5,1,0
1,2.75,1,0
1,3,1,0
1,3.25,1,0
1,3.5,1,0
1,3.75,1,0
1,4,1,0
1,4.25,1,0
1,4.5,1,0
1,4.75,1,0
1,5,1,0
1,5.25,1,0
1,5.5,1,0
1,5.75,1,0
1,6,1,0
1,6.25,1,0
1,6.5,1,0
1,6.75,1,0
1,7,1,0
1,7.25,1,0
1,7.5,1,0
1,7.75,1,0
1,8,1,0
1,8.25,1,0
1,8.5,1,0
1,8.75,1,0
1,9,1,0
1,9.25,1,0
1,9.5,1,0
1,9.75,1,0
1,10,1,0
1,10.25,1,0
1,10.5,1,0
1,10.75,1,0
1,11,1,0
1,11.25,1,0
1,11.5,1,0
1,11.75,1,0
1,12,1,0
1,12.25,1,0
1,12.5,1,0
1,12.75,1,0
1,13,1,0
1,13.25,1,0
1,13.5,1,0
1,13.75,1,0
1,14,1,0
1,14.25,1,0
1,14.5,1,0
1,14.75,1,0
1,15,1,0
1,15.25,1,0
1,15.5,1,0
1,15.75,1,0
1,16,1,0
1,16.25,1,0
1,16.5,1,0
1,16.75,1,0
1,17,1,0
1,17.25,1,0
1,17.5,1,0
1,17.75,1,0
1,18,1,0
1,18.25,1,0
1,18.5,1,0
1,18.75,1,0
1,19,1,0
1,19.25,1,0
1,19.5,1,0
1,19.75,1,0
1,20,1,0
1,20.25,1,0
1,20.5,1,0
1,20.75,1,0
1,21,1,0
1,21.25,1,0
1,21.5,1,0
1,21.75,1,0
1,22,1,0
1,22.25,1,0
1,22.5,1,0
1,22.75,1,0
1,23,1,0
1,23.25,1,0
1,23.5,1,0
1,23.75,1,0
1,24,1,0
2,0.25,1,0
2,0.5,1,0
2,0.75,1,0
2,1,1,0
2,1.25,1,0
2,1.5,1,0
2,1.75,1,0
2,2,1,0
2,2.25,1,0
2,2.5,1,0
2,2.75,1,0
2,3,1,0
2,3.25,1,0
2,3.5,1,0
2,3.75,1,0
2,4,1,0
2,4.25,1,0
2,4.5,1,0
2,4.75,1,0
2,5,1,0
2,5.25,1,0
2,5.5,1,0
2,5.75,1,0
2,6,1,0
2,6.25,1,0
2,6.5,1,0
2,6.75,1,0
2,7,1,0
2,7.25,1,0
2,7.5,1,0
2,7.75,1,0
2,8,1,0
2,8.25,1,0
2,8.5,1,0
2,8.75,1,0
2,9,1,0
2,9.25,1,0
2,9.5,1,0
2,9.75,1,0
2,10,1,0
2,10.25,1,0
2,10.5,1,0
2,10.75,1,0
2,11,1,0
2,11.25,1,0
2,11.5,1,0
2,11.75,1,0
2,12,1,0
2,12.25,1,0
2,12.5,1,0
2,12.75,1,0
2,13,1,0
2,13.25,1,0
2,13.5,1,0
2,13.75,1,0
2,14,1,0
2,14.25,1,0
2,14.5,1,0
2,14.75,1,0
2,15,1,0
2,15.25,1,0
2,15.5,1,0
2,15.75,1,0
2,16,1,0
2,16.25,1,0
2,16.5,1,0
2,16.75,1,0
2,17,1,0
2,17.25,1,0
2,17.5,1,0
2,17.75,1,0
2,18,1,0
2,18.25,1,0
2,18.5,1,0
2,18.75,1,0
2,19,1,0
2,19.25,1,0
2,19.5,1,0
2,19.75,1,0
2,20,1,0
2,20.25,1,0
2,20.5,1,0
2,20.75,1,0
2,21,1,0
2,21.25,1,0
2,21.5,1,0
2,21.75,1,0
2,22,1,0
2,22.25,1,0
2,22.5,1,0
2,22.75,1,0
2,23,1,0
2,23.25,1,0
2,23.5,1,0
2,23.75,1,0
2,24,1,0
3,0.25,1,1
3,0.5,1,1
3,0.75,1,1
3,1,1,1
3,1.25,1,1
3,1.5,1,1
3,1.75,1,1
3,2,1,1
3,2.25,1,1
3,2.5,1,1
3,2.75,1,1
3,3,1,1
3,3.25,1,1
3,3.5,1,1
3,3.75,1,1
3,4,1,1
3,4.25,1,1
3,4.5,1,1
3,4.75,1,1
3,5,1,1
3,5.25,1,1
3,5.5,1,1
3,5.75,1,1
3,6,1,1
3,6.25,1,1
3,6.5,1,1
3,6.75,1,1
3,7,1,1
3,7.25,1,1
3,7.5,1,1
3,7.75,1,1
3,8,1,1
3,8.25,1,1
3,8.5,1,1
3,8.75,1,1
3,9,1,1
3,9.25,1,1
3,9.5,1,1
3,9.75,1,1
3,10,1,1
3,10.25,1,1
3,10.5,1,1
3,10.75,1,1
3,11,1,1
3,11.25,1,1
3,11.5,1,1
3,11.75,1,1
3,12,1,1
3,12.25,1,1
3,12.5,1,1
3,12.75,1,1
3,13,1,1
3,13.25,1,1
3,13.5,1,1
3,13.75,1,1
3,14,1,1
3,14.25,1,1
3,14.5,1,1
3,14.75,1,1
3,15,1,1
3,15.25,1,1
3,15.5,1,1
3,15.75,1,1
3,16,1,1
3,16.25,1,1
3,16.5,1,1
3,16.75,1,1
3,17,1,1
3,17.25,1,1
3,17.5,1,1
3,17.75,1,1
3,18,1,1
3,18.25,1,1
3,18.5,1,1
3,18.75,1,1
3,19,1,1
3,19.25,1,1
3,19.5,1,1
3,19.75,1,1
3,20,1,1
3,20.25,1,1
3,20.5,1,1
3,20.75,1,1
3,21,1,1
3,21.25,1,1
3,21.5,1,1
3,21.75,1,1
3,22,1,1
3,22.25,1,1
3,22.5,1,1
3,22.75,1,1
3,23,1,1
3,23.25,1,1
3,23.5,1,1
3,23.75,1,1
3,24,1,1
4,0.25,1,1
4,0.5,1,1
4,0.75,1,1
4,1,1,1
4,1.25,1,1
4,1.5,1,1
4,1.75,1,1
4,2,1,1
4,2.25,1,1
4,2.5,1,1
4,2.75,1,1
4,3,1,1
4,3.25,1,1
4,3.5,1,1
4,3.75,1,1
4,4,1,1
4,4.25,1,1
4,4.5,1,1
4,4.75,1,1
4,5,1,1
4,5.25,1,1
4,5.5,1,1
4,5.75,1,1
4,6,1,1
4,6.25,1,1
4,6.5,1,1
4,6.75,1,1
4,7,1,1
4,7.25,1,1
4,7.5,1,1
4,7.75,1,1
4,8,1,1
4,8.25,1,1
4,8.5,1,1
4,8.75,1,1
4,9,1,1
4,9.25,1,1
4,9.5,1,1
4,9.75,1,1
4,10,1,1
4,10.25,1,1
